City,Country,Date,Humidity,Lat,Lng,Max Temp,Cloudiness,Wind Speed
Jaguariaíva,BR,1583371221,96,-24.25,-49.71,58.66,30,2.71
Włodawa,PL,1583371221,100,51.55,23.55,37.4,100,3.36
Kulachi,PK,1583371221,82,31.93,70.46,57.85,4,9.86
Khorramshahr,IR,1583371221,76,30.44,48.17,53.6,0,2.24
Ulcinj,ME,1583371221,93,41.93,19.22,48.2,75,5.82
Gouré,NE,1583371222,7,13.98,10.27,80.01,9,5.99
Singaraja,ID,1583370937,71,-8.11,115.09,83.23,100,6.08
Shahr-e Bābak,IR,1583371222,43,30.12,55.12,39.34,0,8.03
Coxim,BR,1583371222,74,-18.51,-54.76,75.94,9,4.23
Camacha,PT,1583371222,82,33.08,-16.33,62.6,20,6.93
Lewistown,US,1583371222,87,40.6,-77.57,52.0,90,13.87
Rocha,UY,1583371046,94,-34.48,-54.33,62.29,0,6.29
Colares,PT,1583371223,93,38.8,-9.45,60.01,75,11.41
Martos,ES,1583371223,87,37.72,-3.97,57.99,31,0.92
Kalmar,SE,1583371132,88,56.66,16.36,37.99,55,5.82
Bella Vista,US,1583370985,43,36.43,-94.23,53.6,1,8.05
Leningradskiy,RU,1583371223,59,69.38,178.42,4.6,40,1.88
Qinhuangdao,CN,1583371223,28,39.93,119.59,30.04,0,6.8
Lompoc,US,1583371223,72,34.64,-120.46,66.0,20,8.05
Viedma,AR,1583371223,36,-40.81,-63.0,80.33,67,16.87
Lungi,SL,1583371224,86,9.22,-12.68,74.86,0,2.19
Garissa,KE,1583371224,73,-0.45,39.64,80.65,91,15.37
Elbistan,TR,1583371224,69,38.21,37.2,36.16,100,5.5
Agadez,NE,1583371224,9,19.75,10.25,71.15,0,9.28
Hualmay,PE,1583371224,71,-11.1,-77.61,73.99,93,6.51
Boyolangu,ID,1583371224,90,-8.12,111.89,73.9,76,1.9
Sørland,NO,1583371224,70,67.67,12.69,35.92,100,8.32
Yangjiang,CN,1583371224,64,21.85,111.97,66.99,100,7.52
Flagstaff,US,1583371161,23,35.2,-111.65,64.99,1,9.17
North Bend,US,1583371100,76,43.41,-124.22,54.0,1,12.75
Santa Rosa,PH,1583371048,69,14.31,121.11,84.0,20,3.36
Mīrābād,AF,1583371225,51,30.44,61.84,47.3,0,30.8
Madaoua,NE,1583371225,9,14.07,5.96,79.02,0,8.34
Chapais,CA,1583371225,53,49.78,-74.85,21.2,75,10.29
Nago,JP,1583371225,82,26.59,127.98,59.0,90,12.75
Broken Hill,AU,1583371225,93,-31.95,141.43,60.8,90,16.11
Takoradze,GH,1583371049,91,4.88,-1.76,79.34,23,2.13
Hervey Bay,AU,1583371226,65,-25.3,152.85,87.01,90,12.75
Nueva Imperial,CL,1583371104,82,-38.73,-72.95,62.6,62,5.82
Soverato Marina,IT,1583371226,100,38.69,16.55,44.6,40,3.36
Ukiah,US,1583371226,19,39.15,-123.21,78.8,1,5.82
Coahuayana Viejo,MX,1583371226,60,18.73,-103.68,75.2,75,7.85
Gamba,GA,1583371226,90,-2.65,10.0,78.67,100,3.78
Airai,TL,1583371227,80,-8.93,125.41,75.15,87,2.21
Aquin,HT,1583371227,77,18.28,-73.4,76.84,12,6.33
Örnsköldsvik,SE,1583371227,92,63.29,18.72,28.4,90,8.05
Jashpurnagar,IN,1583371227,78,22.9,84.15,59.59,28,1.95
Hailey,US,1583371227,60,43.52,-114.32,39.2,5,9.17
Nyzhnya Duvanka,UA,1583371227,83,49.58,38.17,46.62,86,6.08
Evensk,RU,1583371227,94,61.95,159.23,7.29,100,3.15
Nelson Bay,AU,1583371228,94,-32.72,152.15,73.99,90,9.17
Māngrol,IN,1583371228,71,21.12,70.12,75.7,1,10.36
Rognan,NO,1583371228,63,67.1,15.39,30.99,75,26.4
Townsville,AU,1583371046,70,-19.25,146.8,89.6,40,8.05
Tengzhou,CN,1583371209,20,35.08,117.15,45.0,0,1.01
Telde,ES,1583371228,82,27.99,-15.42,69.01,40,24.16
Jurm,AF,1583371228,94,36.86,70.83,28.02,100,4.14
Koson,UZ,1583371228,93,39.04,65.58,39.2,90,9.17
Bradu,RO,1583371229,94,44.78,24.9,47.34,99,5.5
Honolulu,US,1583371173,54,21.31,-157.86,82.4,75,13.87
Scarborough,GB,1583370940,83,54.28,-0.4,36.0,42,1.12
Linxia Chengguanzhen,CN,1583371229,37,35.6,103.21,30.45,49,7.92
Belyy Yar,RU,1583371229,73,53.6,91.39,26.6,36,11.18
Xunchang,CN,1583371229,66,28.45,104.72,52.66,67,0.85
Cururupu,BR,1583371229,95,-1.83,-44.87,74.37,87,2.26
Mehamn,NO,1583371230,84,71.04,27.85,12.49,61,19.08
Letlhakeng,BW,1583371230,61,-24.09,25.03,63.03,0,4.5
Aksu,CN,1583371230,43,41.12,80.26,39.04,0,2.08
Masalli,KR,1583371230,55,34.8,126.66,39.2,40,13.87
College,US,1583370931,63,64.86,-147.8,-5.8,20,2.51
Iquique,CL,1583371230,64,-20.22,-70.14,71.6,1,12.75
Charagua,BO,1583371230,34,-19.8,-63.22,77.86,0,5.01
Orange Walk District,BZ,1583371230,83,17.83,-88.83,80.6,0,5.82
Manggar,ID,1583371231,90,-2.88,108.27,78.22,100,25.46
Dwārka,IN,1583371231,79,22.24,68.97,74.21,20,13.96
Bonavista,CA,1583371231,100,48.65,-53.11,38.68,100,28.54
Wakkanai,JP,1583371231,92,45.41,141.67,28.4,75,23.04
Dutlwe,BW,1583371231,52,-23.98,23.9,65.23,15,8.16
Zhigansk,RU,1583371231,93,66.77,123.37,2.17,100,15.14
Mujiayingzi,CN,1583371231,36,42.12,118.78,19.96,0,4.59
Aberdeen,GB,1583371043,86,57.14,-2.1,37.0,33,2.24
Tarata,BO,1583371232,52,-17.62,-66.02,64.4,20,6.93
Naze,JP,1583371232,71,28.37,129.48,57.2,90,12.75
Botro,CI,1583371232,69,7.85,-5.31,80.6,64,9.17
Isla Mujeres,MX,1583371232,78,21.23,-86.73,80.6,40,13.87
Raseiniai,LT,1583371232,93,55.37,23.12,37.4,90,6.93
Santa Cruz de la Sierra,BO,1583371038,69,-17.8,-63.17,80.6,8,4.7
Denpasar,ID,1583371020,86,-8.65,115.22,78.96,100,4.92
Vieques,PR,1583371233,69,18.43,-65.83,78.8,20,6.93
Bazarnye Mataki,RU,1583371233,96,54.88,49.93,30.06,100,9.62
Neuquén,AR,1583371233,26,-38.95,-68.06,91.4,20,5.82
Buraidah,SA,1583371233,53,26.33,43.98,51.8,0,2.24
Jenison,US,1583370943,80,42.91,-85.79,33.01,1,6.64
Anstruther,GB,1583371233,86,56.22,-2.7,34.0,26,4.7
Lidköping,SE,1583371233,89,58.51,13.16,33.8,94,8.05
Shuiji,CN,1583371233,93,27.42,118.34,44.02,100,3.15
Najrān,SA,1583371234,51,17.49,44.13,59.0,46,3.09
Tazmalt,DZ,1583371234,87,36.39,4.4,53.6,41,5.82
Fairbanks,US,1583371000,63,64.84,-147.72,-8.0,20,3.0
Terrace,CA,1583371099,86,54.52,-128.6,33.8,90,5.82
Puerto Carreño,CO,1583371234,43,6.19,-67.49,89.6,0,8.05
Imbituba,BR,1583371234,100,-28.24,-48.67,71.6,40,5.82
Safford,US,1583371072,20,32.83,-109.71,68.0,1,4.7
Mabaruma,GY,1583371234,88,8.2,-59.78,72.5,29,3.51
Canutama,BR,1583371234,96,-6.53,-64.38,75.87,91,3.58
Mitú,CO,1583371235,87,1.2,-70.17,75.49,18,1.95
Kiruna,SE,1583371235,92,67.86,20.23,6.8,100,1.41
Anadyr,RU,1583371083,71,64.75,177.48,5.0,0,6.71
Shitanjing,CN,1583371235,47,39.23,106.34,32.27,19,0.96
Spinea,IT,1583371235,86,45.49,12.16,43.0,0,5.82
Catherinas Lust,GY,1583371085,79,6.4,-57.6,79.45,0,20.42
Nurota,UZ,1583371236,75,40.56,65.69,42.8,100,13.87
Valença,BR,1583371236,88,-13.37,-39.07,76.1,0,1.36
Ransang,PH,1583371236,79,8.96,117.58,79.57,44,17.81
Vila Franca do Campo,PT,1583371236,67,37.72,-25.43,57.2,20,6.93
Apatzingán,MX,1583371236,38,19.08,-102.35,73.4,75,3.22
Atkinson,US,1583371236,39,42.84,-71.15,45.0,20,17.22
Daru,PG,1583371236,86,-9.08,143.21,82.31,100,5.5
Saskylakh,RU,1583371236,100,71.92,114.08,-8.64,66,2.59
China,MX,1583371224,15,25.7,-99.23,81.1,100,18.75
Belen,TR,1583371237,81,36.49,36.22,57.0,100,4.7
Tazovsky,RU,1583371237,93,67.47,78.7,15.31,97,17.74
Thetford Mines,CA,1583371237,87,46.09,-71.3,30.0,100,10.0
Qui Nhon,VN,1583371237,90,13.77,109.23,72.5,98,1.45
Bulungu,CD,1583371237,68,-4.55,18.6,74.68,0,1.79
Itapeva,BR,1583371238,93,-23.98,-48.88,61.95,0,6.71
Moerai,PF,1583371238,87,-22.43,-151.33,75.72,100,2.73
Bozhou,CN,1583371238,65,33.88,115.77,38.52,0,12.5
San Patricio,MX,1583371238,74,19.22,-104.7,80.6,40,11.41
Senador José Porfírio,BR,1583371238,96,-2.59,-51.95,75.42,100,4.36
Auki,SB,1583371238,73,-8.77,160.7,84.83,100,3.96
Xinyu,CN,1583371238,86,27.8,114.93,49.15,86,7.25
Margate,GB,1583371238,100,51.38,1.39,45.0,99,6.93
Umm Kaddadah,SD,1583371239,9,13.6,26.69,72.59,0,9.73
Khovd,MN,1583371239,86,48.01,91.64,15.89,82,4.18
Cockburn Town,TC,1583371239,81,21.46,-71.14,78.28,0,18.75
Brewster,US,1583371239,52,41.4,-73.62,50.0,90,10.29
Betanzos,ES,1583371239,93,43.28,-8.21,59.0,75,9.17
Levice,SK,1583371240,92,48.22,18.61,37.99,0,1.12
Harjavalta,FI,1583371240,93,61.32,22.13,35.6,90,9.17
Pabellón de Arteaga,MX,1583371240,22,22.15,-102.25,69.8,90,13.87
Voronezh,RU,1583370946,100,51.67,39.17,37.4,90,11.18
Kingaroy,AU,1583371240,61,-26.53,151.83,78.8,40,9.17
Moranbah,AU,1583371240,68,-22.0,148.05,82.99,97,5.64
Tual,ID,1583371240,76,-5.67,132.75,83.68,100,13.11
Warrington,GB,1583371109,100,53.39,-2.58,39.2,40,5.82
Caniço,PT,1583371241,72,32.63,-16.85,62.6,20,2.24
San Matías,BO,1583371241,53,-16.37,-58.4,80.46,38,2.75
Polovinnoye,RU,1583371241,96,54.79,65.99,28.62,100,10.31
Adrar,MR,1583371241,7,20.5,-10.07,73.44,0,6.53
Marsá Maţrūḩ,EG,1583371241,87,31.35,27.25,59.0,99,11.41
Paita,PE,1583371241,71,-5.09,-81.11,79.02,9,12.41
Kiryat Gat,IL,1583371241,93,31.61,34.76,61.0,0,3.36
Stepnyak,KZ,1583371242,76,52.83,70.78,19.51,100,12.12
Laas,IT,1583371242,73,46.62,10.7,30.99,76,3.29
Tilichiki,RU,1583371242,87,60.47,166.1,3.0,5,4.7
Yelizovo,RU,1583371242,62,53.19,158.38,21.2,100,4.47
Eyl,SO,1583371242,63,7.98,49.82,77.76,13,9.01
Palmer,US,1583371166,41,42.16,-72.33,46.4,20,10.29
Murupara,NZ,1583371242,52,-38.47,176.7,73.0,45,8.99
Ballitoville,ZA,1583371243,88,-29.54,31.21,72.0,0,4.7
Kuji,JP,1583371243,93,40.19,141.77,41.0,75,10.29
George,ZA,1583371243,77,-33.96,22.46,66.2,58,4.7
Amapá,BR,1583371243,96,1.0,-52.0,73.02,4,3.69
Nador,MA,1583371121,63,35.17,-2.93,64.4,0,13.87
Manokwari,ID,1583370988,76,-0.87,134.08,78.35,89,4.9
Vao,NC,1583371243,78,-22.67,167.48,79.12,3,3.49
Janów Lubelski,PL,1583371243,100,50.71,22.41,37.4,100,3.36
Nísia Floresta,BR,1583371243,78,-6.09,-35.21,82.4,20,4.7
Seoul,KR,1583371103,47,37.57,126.98,33.8,1,3.36
Turan,VN,1583371244,94,16.07,108.22,75.2,75,1.12
Alençon,FR,1583371244,100,48.43,0.08,50.0,100,3.36
Karligan,PH,1583371244,81,14.97,122.05,77.56,38,10.49
Ketchikan,US,1583371244,86,55.34,-131.65,37.4,90,14.99
Shenjiamen,CN,1583371244,64,29.96,122.3,45.91,67,16.2
Constitución,CL,1583371244,80,-35.33,-72.42,57.47,5,7.25
Belém de São Francisco,BR,1583371245,95,-8.75,-38.97,72.61,100,10.2
Vaitape,PF,1583371245,73,-16.52,-151.75,82.47,86,5.95
Kyra,RU,1583371245,87,49.58,111.98,4.87,95,1.28
Coracora,PE,1583371068,84,-15.03,-73.78,53.87,82,3.87
Bud,US,1583371245,56,39.45,-86.18,46.99,40,6.93
Valdivia,CL,1583371245,82,-39.81,-73.25,57.2,10,2.24
Inhambane,MZ,1583371246,68,-23.86,35.38,75.94,10,14.58
